"address","commune","country","latitude","longitude","name","phone","region"
"Vicuña Mackenna 802","Arica","Chile","-18.480781","-70.311448","Cuerpo de Bomberos de Arica","+56582257614","Región de Arica y Parinacota"
"Los Alamos 3007","Alto Hospicio","Chile","-20.268843","-70.104428","Cuerpo de Bomberos de Santa Rosa De Huantajaya","+56572499871","Región de Tarapacá"
"Noruega S/N","Alto Hospicio","Chile","-20.294159","-70.1043","Cuerpo de Bomberos de Alto Hospicio","+56572499390","Región de Tarapacá"
"Arturo Prat S/N","Camiña","Chile","-19.312723","-69.425425","Cuerpo de Bomberos de Camiña","+56562069541","Región de Tarapacá"
"Eleuterio Ramirez S/N","Huara","Chile","-19.996948","-69.772806","Cuerpo de Bomberos de Huara","+56572752550","Región de Tarapacá"
"Bolívar 414","Iquique","Chile","-20.21241","-70.152029","Cuerpo de Bomberos de Iquique","+56572413166","Región de Tarapacá"
"Barboza S/N","Pica","Chile","-20.490392","-69.328794","Cuerpo de Bomberos de Pica","+56572741377","Región de Tarapacá"
"Aldunate 650","Pozo Almonte","Chile","-20.257961","-69.784737","Cuerpo de Bomberos de Pozo Almonte","+56572752325","Región de Tarapacá"
"Sucre 545","Antofagasta","Chile","-23.647448","-70.396192","Cuerpo de Bomberos de Antofagasta","+56552261304","Región de Antofagasta"
"Sotomayor 1862","Calama","Chile","-22.462566","-68.923875","Cuerpo de Bomberos de Calama","+56552563602","Región de Antofagasta"
"Avenida Ohiggins  447","María Elena","Chile","-22.346113","-69.661221","Cuerpo de Bomberos de Maria Elena","055413999","Región de Antofagasta"
"Almirante Latorre 511","Mejillones","Chile","-23.099721","-70.445784","Cuerpo de Bomberos de Mejillones","+56552621591","Región de Antofagasta"
"El Inca 350","San Pedro de Atacama","Chile","-22.908975","-68.200507","Cuerpo de Bomberos de San Pedro De Atacama","+56552851074","Región de Antofagasta"
"Calle Jaime Guzmán 200","Baquedano","Chile","-23.332438","-69.842324","Cuerpo de Bomberos de Sierra Gorda","+56552641825","Región de Antofagasta"
"Ramírez 150","Taltal","Chile","-25.406985","-70.48638","Cuerpo de Bomberos de Tal Tal","+56552611065","Región de Antofagasta"
"21 De Mayo 1561","Tocopilla","Chile","-22.092877","-70.201524","Cuerpo de Bomberos de Tocopilla","+56552813132","Región de Antofagasta"
"Ossa Cerda 370","Caldera","Chile","-27.068545","-70.822803","Cuerpo de Bomberos de Caldera","+56522315269","III Región"
